Item number,SKU Size,Parent Bulk Item Number,Product name,GFS_ReasonName,Item in Catalog,Show pricing to web,Parent Bulk Item Site,GFS Express,Search name,Production type,Brand,CAS #,DEA Controlled,Hazardous,Hazard Class,Product service type,Packing Group,Visible in webshop
8508,BULK L,8508,"AMCO CLEAR TURBIDITY STANDARD, 50 NTU for HACH 2100 AN IS",,Yes,No,25,No,"50 NTU, Hach 2100 AN IS, Amco Clear Turbidity Standard",Formula,AMCO,,No,No,,Not specified,,Yes
85080,1 L,8018,"AMCO CLEAR TURBIDITY STANDARD, 50 NTU",,Yes,Yes,25,No,"50 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85081,250 ML,8018,"AMCO CLEAR TURBIDITY STANDARD, 50 NTU",,Yes,Yes,25,No,"50 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85083,1 GAL,8018,"AMCO CLEAR TURBIDITY STANDARD, 50 NTU",,Yes,Yes,25,No,"50 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85084,1 GAL,8019,"AMCO CLEAR TURBIDITY STANDARD, 60 NTU",,Yes,Yes,25,No,"60 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85085,1 L,8019,"AMCO CLEAR TURBIDITY STANDARD, 60 NTU",,Yes,Yes,25,No,"60 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85086,250 ML,8019,"AMCO CLEAR TURBIDITY STANDARD, 60 NTU",,Yes,Yes,25,No,"60 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85088,125 ML,8020,"AMCO CLEAR TURBIDITY STANDARD, 80 NTU",,Yes,Yes,25,No,"80 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85089,1 GAL,8020,"AMCO CLEAR TURBIDITY STANDARD, 80 NTU",,Yes,Yes,25,No,"80 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
8509,BULK L,8509,"AMCO CLEAR TURBIDITY STANDARD, 500 NTU for HACH 2100 AN IS",,Yes,No,25,No,"500 NTU, Hach 2100 AN IS, Amco Clear Turbidity Standard",Formula,AMCO,,No,No,,Not specified,,Yes
85090,1 L,8020,"AMCO CLEAR TURBIDITY STANDARD, 80 NTU",,Yes,Yes,25,No,"80 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85091,250 ML,8020,"AMCO CLEAR TURBIDITY STANDARD, 80 NTU",,Yes,Yes,25,No,"80 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85092,1 L,8021,"AMCO CLEAR TURBIDITY STANDARD, 100 NTU",,Yes,Yes,25,No,"100 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85093,125 ML,8021,"AMCO CLEAR TURBIDITY STANDARD, 100 NTU",,Yes,Yes,25,No,"100 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85094,250 ML,8021,"AMCO CLEAR TURBIDITY STANDARD, 100 NTU",,Yes,Yes,25,No,"100 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85095,500 ML,8021,"AMCO CLEAR TURBIDITY STANDARD, 100 NTU",,Yes,Yes,25,No,"100 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85097,1 GAL,8021,"AMCO CLEAR TURBIDITY STANDARD, 100 NTU",,Yes,Yes,25,No,"100 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85098,1 L,8022,"AMCO CLEAR TURBIDITY STANDARD, 200 NTU",,Yes,Yes,25,No,"200 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85099,250 ML,8022,"AMCO CLEAR TURBIDITY STANDARD, 200 NTU",,Yes,Yes,25,No,"200 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85100,1 GAL,8022,"AMCO CLEAR TURBIDITY STANDARD, 200 NTU",,Yes,Yes,25,No,"200 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85103,1 L,8024,"AMCO CLEAR TURBIDITY STANDARD, 300 NTU",,Yes,Yes,25,No,"300 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85104,250 ML,8024,"AMCO CLEAR TURBIDITY STANDARD, 300 NTU",,Yes,Yes,25,No,"300 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85105,1 GAL,8024,"AMCO CLEAR TURBIDITY STANDARD, 300 NTU",,Yes,Yes,25,No,"300 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85106,1 L,8025,"AMCO CLEAR TURBIDITY STANDARD, 400 NTU",,Yes,Yes,25,No,"400 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85107,500 ML,8025,"AMCO CLEAR TURBIDITY STANDARD, 400 NTU",,Yes,Yes,25,No,"400 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85109,1 GAL,8025,"AMCO CLEAR TURBIDITY STANDARD, 400 NTU",,Yes,Yes,25,No,"400 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85110,250 ML,8026,"AMCO CLEAR TURBIDITY STANDARD, 500 NTU",,Yes,Yes,25,No,"500 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85111,1 L,8026,"AMCO CLEAR TURBIDITY STANDARD, 500 NTU",,Yes,Yes,25,No,"500 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85113,1 GAL,8026,"AMCO CLEAR TURBIDITY STANDARD, 500 NTU",,Yes,Yes,25,No,"500 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85114,1 GAL,8027,"AMCO CLEAR TURBIDITY STANDARD, 600 NTU",,Yes,Yes,25,No,"600 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
