Item number,SKU Size,Parent Bulk Item Number,Product name,GFS_ReasonName,Item in Catalog,Show pricing to web,Parent Bulk Item Site,GFS Express,Search name,Production type,Brand,CAS #,DEA Controlled,Hazardous,Hazard Class,Product service type,Packing Group,Visible in webshop
1000,BULK L,1000,"ROYER ANION EXCHANGE RESIN, PEI-40",,Yes,No,20,No,"Royer Anion Exchange Resin, Pei-40",Formula,ROYER,,No,No,,Not specified,,Yes
1001,BULK L,1001,"ROYER ANION EXCHANGE RESIN, PEI-100",,Yes,No,20,No,"Royer Anion Exchange Resin, Pei-100",Formula,ROYER,,No,No,,Not specified,,Yes
10020,25 G,3471,"MAGNESIUM FLUORIDE, 99.9%, POWDER",,Yes,Yes,20,No,"Magnesium Fluoride, 99.9%, Powder",BOM,GFS GENERIC,7783-40-6,No,No,,Not specified,,Yes
10021,5 G,3854,"Dipropargylamine, 97%",,Yes,Yes,15,No,"Dipropargylamine, 97%",BOM,GFS GENERIC,6921-28-4,No,Yes,"3, (8),",Not specified,PGIII,Yes
10023,25 G,3854,"Dipropargylamine, 97%",,Yes,No,15,No,"Dipropargylamine, 97%",BOM,GFS GENERIC,6921-28-4,No,Yes,"3, (8),",Not specified,PGIII,Yes
10024,100 G,3854,"Dipropargylamine, 97%",,Yes,No,15,No,"Dipropargylamine, 97%",BOM,GFS GENERIC,6921-28-4,No,Yes,"3, (8),",Not specified,PGIII,Yes
10025,1 KG,3854,"Dipropargylamine, 97%",,Yes,No,15,No,"Dipropargylamine, 97%",BOM,GFS ORGANIC,6921-28-4,No,Yes,"3, (8),",Not specified,PGIII,Yes
10030,1 G,3472,"6,8-Heneicosadiynoic Acid, 98%",,Yes,No,15,No,"6,8-Heneicosadiynoic Acid, 98%",BOM,GFS GENERIC,174063-94-6,No,No,,Not specified,,Yes
10031,10 G,3472,"6,8-Heneicosadiynoic Acid, 98%",,Yes,No,15,No,"6,8-Heneicosadiynoic Acid, 98%",BOM,GFS GENERIC,174063-94-6,No,No,,Not specified,,Yes
10040,100 G,3473,"SODIUM SELENITE, 95%, ANHYDROUS",,Yes,Yes,20,No,"Sodium Selenite, 95%, Anhydrous",BOM,GFS GENERIC,10102-18-8,No,Yes,"6.1,",Not specified,PGII,Yes
10041,500 G,3473,"SODIUM SELENITE, 95%, ANHYDROUS",,Yes,Yes,20,No,"Sodium Selenite, 95%, Anhydrous",BOM,GFS GENERIC,10102-18-8,No,Yes,"6.1,",Not specified,PGII,Yes
10042,2.5 KG,3473,"SODIUM SELENITE, 95%, ANHYDROUS",,Yes,Yes,20,No,"Sodium Selenite, 95%, Anhydrous",BOM,GFS GENERIC,10102-18-8,No,Yes,"6.1,",Not specified,PGII,Yes
10051,500 G,827,"ACETAMIDE, REAGENT",,Yes,Yes,20,No,"Acetamide, Reagent",BOM,GFS GENERIC,60-35-5,No,No,,Not specified,,Yes
10052,100 G,827,"ACETAMIDE, REAGENT",,Yes,Yes,20,No,"Acetamide, Reagent",BOM,GFS GENERIC,60-35-5,No,No,,Not specified,,Yes
10061,25 G,2559,"Acetamide Oxime, 96%",,Yes,Yes,15,No,"Acetamide Oxime, 96%",BOM,GFS GENERIC,22059-22-9,No,No,,Not specified,,Yes
10062,100 G,2559,"Acetamide Oxime, 96%",,Yes,No,15,No,"Acetamide Oxime, 96%",BOM,GFS GENERIC,22059-22-9,No,No,,Not specified,,Yes
10063,500 G,2559,"Acetamide Oxime, 96%",,Yes,No,15,No,Acetamide Oxime 96%,BOM,GFS GENERIC,22059-22-9,No,No,,Not specified,,Yes
10064,2.5 KG,2559,"Acetamide Oxime, 96%",,Yes,No,15,No,"Acetamide Oxime, 96%",BOM,GFS ORGANIC,22059-22-9,No,No,,Not specified,,Yes
10071,100 ML,3475,"ZIRCONIUM n-BUTOXIDE, 80% (W/W) in 1-BUTANOL",,Yes,Yes,20,No,"Zirconium N-Butoxide, 80% Silution W/W In 1-Butanol",BOM,GFS GENERIC,1071-76-7,No,Yes,"3,",Not specified,PGIII,Yes
10072,500 ML,3475,"ZIRCONIUM n-BUTOXIDE, 80% (W/W) in 1-BUTANOL",,Yes,Yes,20,No,"Zirconium N-Butoxide, 80% Silution W/W In 1-Butanol",BOM,GFS GENERIC,1071-76-7,No,Yes,"3,",Not specified,PGIII,Yes
10081,1 L,3482,"1-DECANOL, REAGENT",,Yes,Yes,20,No,"1-Decanol, Reagent",BOM,GFS GENERIC,112-30-1,No,No,,Not specified,,Yes
10082,2.5 L,3482,"1-DECANOL, REAGENT",,Yes,Yes,20,No,"1-Decanol, Reagent",BOM,GFS GENERIC,112-30-1,No,No,,Not specified,,Yes
10083,4 L,3482,"1-DECANOL, REAGENT",,Yes,Yes,20,No,"1-Decanol, Reagent",BOM,GFS GENERIC,112-30-1,No,No,,Not specified,,Yes
10091,100 G,3483,"1-IODODECANE, 98%",,Yes,Yes,20,No,"1-Iododecane, 98%",BOM,GFS GENERIC,2050-77-3,No,No,,Not specified,,Yes
10092,500 G,3483,"1-IODODECANE, 98%",,Yes,Yes,20,No,"1-Iododecane, 98%",BOM,GFS GENERIC,2050-77-3,No,No,,Not specified,,Yes
10093,800 ML,3483,"1-IODODECANE, 98%",,Yes,No,20,No,"1-Iododecane, 98%",BOM,GFS GENERIC,2050-77-3,No,No,,Not specified,,Yes
10094,3 KG,3483,"1-IODODECANE, 98%",,Yes,No,20,No,"1-Iododecane, 98%",BOM,GFS ORGANIC,2050-77-3,No,No,,Not specified,,Yes
10095,25 KG,3483,"1-IODODECANE, 98%",,Yes,No,20,No,"1-Iododecane, 98%",BOM,GFS ORGANIC,2050-77-3,No,No,,Not specified,,Yes
10096,70 KG,3483,"1-IODODECANE, 98%",,Yes,No,20,No,"1-Iododecane, 98%",BOM,GFS ORGANIC,2050-77-3,No,No,,Not specified,,Yes
10097,250 KG,3483,"1-IODODECANE, 98%",,Yes,No,20,No,"1-Iododecane, 98%",BOM,GFS ORGANIC,2050-77-3,No,No,,Not specified,,Yes
101,BULK KG,101,"Zinc, Amalgamated",,Yes,No,20,No,"Zinc, Amalgamated",Formula,GFS GENERIC,52374-36-4,No,Yes,"9,",Not specified,PGIII,Yes
10111,1 G,3485,"Tributylstannylacetylene, 95%",,Yes,Yes,15,No,"Tributylstannylacetylene, 95%",BOM,GFS GENERIC,994-89-8,No,Yes,"6.1,",Not specified,PGIII,Yes
10112,5 G,3485,"Tributylstannylacetylene, 95%",,Yes,Yes,15,No,"Tributylstannylacetylene, 95%",BOM,GFS GENERIC,994-89-8,No,Yes,"6.1,",Not specified,PGIII,Yes
10113,25 G,3485,"Tributylstannylacetylene, 95%",,Yes,No,15,No,"Tributylstannylacetylene, 95%",BOM,GFS GENERIC,994-89-8,No,Yes,"6.1,",Not specified,PGIII,Yes
10121,5 G,3969,"Tripropargylamine, 98%",,Yes,Yes,15,No,"Tripropargylamine, 98%",BOM,GFS GENERIC,6921-29-5,No,Yes,"3,",Not specified,PGIII,Yes
10122,25 G,3969,"Tripropargylamine, 98%",,Yes,No,15,No,"Tripropargylamine, 98%",BOM,GFS GENERIC,6921-29-5,No,Yes,"3,",Not specified,PGIII,Yes
10123,100 G,3969,"Tripropargylamine, 98%",,Yes,No,15,No,"Tripropargylamine, 98%",BOM,GFS GENERIC,6921-29-5,No,Yes,"3,",Not specified,PGIII,Yes
10124,500 G,3969,"Tripropargylamine, 98%",,Yes,No,15,No,"Tripropargylamine, 98%",BOM,GFS ORGANIC,6921-29-5,No,Yes,"3,",Not specified,PGIII,Yes
10125,2 KG,3969,"Tripropargylamine, 98%",,Yes,No,15,No,"Tripropargylamine, 98%",BOM,GFS ORGANIC,6921-29-5,No,Yes,"3,",Not specified,PG III,Yes
1013,BULK KG,1013,"Reinecke Salt, Reagent (ACS)",RAW,Yes,No,20,No,"Reinecke Salt, Reagent",None,GFS GENERIC,13573-17-6,No,No,,Not specified,,Yes
10131,500 ML,3476,"1-HEPTANOIC ACID, 97%",,Yes,Yes,20,No,"1-Heptanoic Acid, 97%",BOM,GFS GENERIC,111-14-8,No,Yes,"8,",Not specified,PGIII,Yes
10132,1 L,3476,"1-HEPTANOIC ACID, 97%",,Yes,Yes,20,No,"1-Heptanoic Acid, 97%",BOM,GFS GENERIC,111-14-8,No,Yes,"8,",Not specified,PGIII,Yes
1015,BULK KG,1015,"Rubidium Chloride, Reagent",,Yes,No,10,No,"Rubidium Chloride, Reagent",Formula,GFS GENERIC,7791-11-9,No,No,,Not specified,,Yes
1016,BULK KG,1016,"Rubidium Nitrate, 99.8%",,Yes,No,10,No,"Rubidium Nitrate, Reagent",Formula,GFS GENERIC,13126-12-0,No,Yes,"5.1,",Not specified,PGIII,Yes
10161,100 G,3489,"DL-Tartaric Acid, 99%, Anhydrous",,Yes,Yes,10,No,"Dl-Tartaric Acid, 99%, Anhydrous",BOM,GFS GENERIC,133-37-9,No,No,,Not specified,,Yes
10162,500 G,3489,"DL-Tartaric Acid, 99%, Anhydrous",,Yes,Yes,10,No,"Dl-Tartaric Acid, 99%, Anhydrous",BOM,GFS GENERIC,133-37-9,No,No,,Not specified,,Yes
10163,2.5 KG,3489,"DL-Tartaric Acid, 99%, Anhydrous",,Yes,Yes,10,No,"Dl-Tartaric Acid, 99%, Anhydrous",BOM,GFS GENERIC,133-37-9,No,No,,Not specified,,Yes
10165,50 KG,3489,"DL-Tartaric Acid, 99%, Anhydrous",,Yes,No,10,No,"Dl-Tartaric Acid, 99%, Anhydrous",BOM,GFS GENERIC,133-37-9,No,No,,Not specified,,Yes
10171,2.5 L PVC,9248,"MERCUROUS NITRATE, 10%, SOLUTION IN 10% NITRIC ACID",,Yes,Yes,20,No,"Mercurous Nitrate, 10%, Solution In 10% Nitric Acid",BOM,GFS GENERIC,10415-75-5,No,Yes,"8, (6.1),",Not specified,PGII,Yes
10172,6X2.5L PVC,9248,"MERCUROUS NITRATE, 10%, SOLUTION IN 10% NITRIC ACID",,Yes,Yes,20,No,"Mercurous Nitrate, 10%, Solution In 10% Nitric Acid",BOM,GFS GENERIC,10415-75-5,No,Yes,"8, (6.1),",Not specified,PGII,Yes
1018,BULK KG,1018,"RUTHENIUM CHLORIDE, HYDRATED, REAGENT",RAW,Yes,No,20,No,"Ruthenium Chloride, Hydrated, Reagent",None,GFS GENERIC,14898-67-0,No,Yes,"8,",Not specified,PGII,Yes
10191,100 G,3494,"SODIUM PERCARBONATE, 10% AVAILABLE OXYGEN",,Yes,Yes,20,No,"Sodium Percarbonate, 10% Available Oxygen",BOM,GFS GENERIC,15630-89-4,No,Yes,"5.1,",Not specified,PGII,Yes
10192,500 G,3494,"SODIUM PERCARBONATE, 10% AVAILABLE OXYGEN",,Yes,Yes,20,No,"Sodium Percarbonate, 10% Available Oxygen",BOM,GFS GENERIC,15630-89-4,No,Yes,"5.1,",Not specified,PGII,Yes
10193,2.5 KG,3494,"SODIUM PERCARBONATE, 10% AVAILABLE OXYGEN",,Yes,Yes,20,No,"Sodium Percarbonate, 10% Available Oxygen",BOM,GFS GENERIC,15630-89-4,No,Yes,"5.1,",Not specified,PGII,Yes
102,BULK KG,102,"Zinc Perchlorate, Hexahydrate, Reagent",,Yes,No,10,No,"Zinc Perchlorate, Hexahydrate, Reagent",Formula,GFS GENERIC,10025-64-6,No,Yes,"5.1,",Not specified,PGII,Yes
1020,BULK KG,1020,"Cobalt Sulfate, Reagent",RAW,Yes,No,10,No,"Cobalt Sulfate, Reagent",None,GFS GENERIC,10026-24-1,No,Yes,"9,",Not specified,PGIII,Yes
1022,BULK KG,1022,"SODIUM ACETATE, ANHYDROUS, REAGENT (ACS)",RAW,Yes,No,20,No,"Sodium Acetate, Anhydrous, ACS",None,GFS GENERIC,127-09-3,No,No,,Not specified,,Yes
1023,BULK KG,1023,"SODIUM AMMONIUM PHOSPHATE, REAGENT",RAW,Yes,No,20,No,"Sodium Ammonium Phosphate, Reagent",None,GFS GENERIC,7783-13-3,No,No,,Not specified,,Yes
10241,50 G,5192,"1-ALLYL-2-THIOUREA, 98%",,Yes,Yes,20,No,"1-Allyl-2-Thiourea, 98%",BOM,GFS GENERIC,109-57-9,No,Yes,"6.1,",Not specified,PGIII,Yes
10242,250 G,5192,"1-ALLYL-2-THIOUREA, 98%",,Yes,Yes,20,No,"1-Allyl-2-Thiourea, 98%",BOM,GFS GENERIC,109-57-9,No,Yes,"6.1,",Not specified,PGIII,Yes
1025,BULK KG,1025,"SODIUM BISMUTHATE, REAGENT (ACS)",RAW,Yes,No,20,No,"Sodium Bismuthate, ACS",None,GFS GENERIC,12232-99-4,No,No,,Not specified,,Yes
10251,25 G,3718,"Aluminum Perchlorate, Dehydrated, Reagent",,Yes,Yes,10,No,"Aluminum Perchlorate, Dehydrated, Reagent",BOM,GFS GENERIC,14452-39-2,No,Yes,"5.1,",Not specified,PGII,Yes
10252,100 G,3718,"Aluminum Perchlorate, Dehydrated, Reagent",,Yes,Yes,10,No,"Aluminum Perchlorate, Dehydrated, Reagent",BOM,GFS GENERIC,14452-39-2,No,Yes,"5.1,",Not specified,PGII,Yes
10253,500 G,3718,"Aluminum Perchlorate, Dehydrated, Reagent",,Yes,Yes,10,No,"Aluminum Perchlorate, Dehydrated, Reagent",BOM,GFS GENERIC,14452-39-2,No,Yes,"5.1,",Not specified,PGII,Yes
1026,BULK KG,1026,"SODIUM BISULFATE, MONOHYDRATE, REAGENT",RAW,Yes,No,20,No,"Sodium Bismuthate, ACS",None,GFS GENERIC,10034-88-5,No,Yes,"8,",Not specified,PGIII,Yes
10261,500 G,5193,"ALUMINUM SULFATE, HYDRATE",,Yes,Yes,20,No,"Aluminum Sulfate, Hydrate",BOM,GFS GENERIC,17927-65-0,No,No,,Not specified,,Yes
10262,2.5 KG,5193,"ALUMINUM SULFATE, HYDRATE",,Yes,Yes,20,No,"Aluminum Sulfate, Hydrate",BOM,GFS GENERIC,17927-65-0,No,No,,Not specified,,Yes
10263,10 KG,5193,"ALUMINUM SULFATE, HYDRATE",,Yes,No,20,No,"Aluminum Sulfate, Hydrate",BOM,GFS GENERIC,17927-65-0,No,No,,Not specified,,Yes
10264,50 KG,5193,"ALUMINUM SULFATE, HYDRATE",,Yes,No,20,No,"Aluminum Sulfate, Hydrate",BOM,GFS GENERIC,17927-65-0,No,No,,Not specified,,Yes
1027,BULK KG,1027,"SODIUM BROMIDE, REAGENT (ACS)",RAW,Yes,No,20,No,"Sodium Bromide, ACS",None,GFS GENERIC,7647-15-6,No,No,,Not specified,,Yes
1028,BULK KG,1028,"SODIUM CARBONATE, MONOHYDRATE, REAGENT (ACS)",RAW,Yes,No,20,No,"Sodium Carbonate, Monohydrate, ACS",None,GFS GENERIC,5968-11-6,No,No,,Not specified,,Yes
10281,1 L,5000,"BARIUM PERCHLORATE, 0.01 N, AQUEOUS SOLUTION",,Yes,Yes,20,No,"Barium Perchlorate, 0.01 N, Aqueous Solution",BOM,GFS GENERIC,10294-39-0,No,No,,Not specified,,Yes
10282,4 L,5000,"BARIUM PERCHLORATE, 0.01 N, AQUEOUS SOLUTION",,Yes,Yes,20,No,"Barium Perchlorate, 0.01 N, Aqueous Solution",BOM,GFS GENERIC,10294-39-0,No,No,,Not specified,,Yes
1029,BULK KG,1029,"Sodium Chlorate, Reagent (ACS)",,Yes,No,10,No,"Sodium Chlorate, ACS",Formula,GFS GENERIC,7775-09-9,No,Yes,"5.1,",Not specified,PGII,Yes
10291,5 G,3484,"Barium Trifluoroacetate, 99%",,Yes,Yes,10,No,"Barium Trifluoroacetate, 99%",BOM,GFS GENERIC,60884-92-6,No,No,,Not specified,,Yes
10292,25 G,3484,"Barium Trifluoroacetate, 99%",,Yes,Yes,10,No,"Barium Trifluoroacetate, 99%",BOM,GFS GENERIC,60884-92-6,No,No,,Not specified,,Yes
10299,6X500MLPVC,624,"ACETIC ACID, GLACIAL, REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Glacial, ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
103,BULK KG,103,AMARANTH,RAW,Yes,No,20,No,Amaranth,None,GFS GENERIC,915-67-3,No,No,,Not specified,,Yes
10300,20 L,624,"ACETIC ACID, GLACIAL, REAGENT (ACS)",,Yes,No,20,No,"Acetic Acid, Glacial, ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10301,500 ML,624,"ACETIC ACID, GLACIAL, REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Glacial, ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10302,2.5 L,624,"ACETIC ACID, GLACIAL, REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Glacial, ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10303,6 X 500 ML,624,"ACETIC ACID, GLACIAL, REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Glacial, ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10304,4 X 2.5 L,624,"ACETIC ACID, GLACIAL, REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Glacial, ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10305,6 X 2.5 L,624,"ACETIC ACID, GLACIAL, REAGENT (ACS)",,Yes,Yes,20,Yes,"Acetic Acid, Glacial, ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10307,6X2.5L PVC,624,"ACETIC ACID, GLACIAL, REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Glacial, ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10308,2.5 L PVC,624,"ACETIC ACID, GLACIAL, REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Glacial, ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10309,4X2.5L PVC,624,"ACETIC ACID, GLACIAL, REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Glacial, ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
1031,BULK KG,1031,"SODIUM FLUORIDE, REAGENT (ACS)",RAW,Yes,No,20,No,"Sodium Fluoride, ACS",None,GFS GENERIC,7681-49-4,No,Yes,"6.1,",Not specified,PGIII,Yes
10310,500 ML PVC,624,"ACETIC ACID, GLACIAL, REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Glacial, ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10311,500 ML,546,"Acetic Acid, Veritas Redistilled",,Yes,Yes,10,No,"Acetic Acid, Veritas Redistilled",BOM,VERITAS,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10312,2.5 L,546,"Acetic Acid, Veritas Redistilled",,Yes,Yes,10,No,"Acetic Acid, Veritas Redistilled",BOM,VERITAS,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10313,6 X 500 ML,546,"Acetic Acid, Veritas Redistilled",,Yes,Yes,10,No,"Acetic Acid, Veritas Redistilled",BOM,VERITAS,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10314,4 X 2.5 L,546,"Acetic Acid, Veritas Redistilled",,Yes,Yes,10,No,"Acetic Acid, Veritas Redistilled",BOM,VERITAS,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10315,6 X 2.5 L,546,"Acetic Acid, Veritas Redistilled",,Yes,Yes,10,No,"Acetic Acid, Veritas Redistilled",BOM,VERITAS,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10316,2.5 L PVC,546,"Acetic Acid, Veritas Redistilled",,Yes,Yes,10,No,"Acetic Acid, Veritas Redistilled",BOM,VERITAS,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10317,6X2.5L PVC,546,"Acetic Acid, Veritas Redistilled",,Yes,Yes,10,No,"Acetic Acid, Veritas Redistilled",BOM,VERITAS,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
1033,BULK KG,1033,"SODIUM IODIDE, REAGENT (ACS)",RAW,Yes,No,20,No,"Sodium Iodide, ACS",None,GFS GENERIC,7681-82-5,No,No,,Not specified,,Yes
10330,250 ML,1261,"Acetic Acid, Veritas Double Distilled",,Yes,Yes,10,No,"Acetic Acid, Veritas Double Distilled",BOM,VERITAS,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10331,500 ML,1261,"Acetic Acid, Veritas Double Distilled",,Yes,Yes,10,No,"Acetic Acid, Veritas Double Distilled",BOM,VERITAS,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10332,2 L,1261,"Acetic Acid, Veritas Double Distilled",,Yes,Yes,10,No,"Acetic Acid, Veritas Double Distilled",BOM,VERITAS,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
1034,BULK KG,1034,"SODIUM MOLYBDATE, DIHYDRATE, REAGENT (ACS)",RAW,Yes,No,20,No,"Sodium Molybdate, Dihydrate, ACS",None,GFS GENERIC,10102-40-6,No,No,,Not specified,,Yes
10341,60 ML,5845,"ACETIC ACID, LC-MS",,Yes,No,20,No,"Acetic Acid, LCMS",BOM,VERITAS,64-19-7,No,Yes,"8, (3),",Not specified,PG II,Yes
1035,BULK KG,1035,"SODIUM PHOSPHATE, TRIBASIC, DODECAHYDRATE, REAGENT (ACS)",RAW,Yes,No,20,No,"Sodium Phosphate, Tribasic, Dodecahydrate, ACS",None,GFS GENERIC,10101-89-0,No,Yes,"8,",Not specified,PGIII,Yes
10352,2.5 L,1685,"ACETIC ACID SOLUTION, 84%, REAGENT",,Yes,Yes,20,No,"Acetic Acid Solution, 84%, Reagent",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10353,6 X 2.5 L,1685,"ACETIC ACID SOLUTION, 84%, REAGENT",,Yes,Yes,20,No,"Acetic Acid Solution, 84%, Reagent",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10354,4 X 2.5 L,1685,"ACETIC ACID SOLUTION, 84%, REAGENT",,Yes,Yes,20,No,"Acetic Acid Solution, 84%, Reagent",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
1036,BULK KG,1036,"SODIUM PYROPHOSPHATE, DECAHYDRATE, REAGENT (ACS)",RAW,Yes,No,20,No,"Sodium Pyrophosphate, Decahydrate, ACS",None,GFS GENERIC,13472-36-1,No,No,,Not specified,,Yes
10361,500 ML,2583,"ACETIC ACID, SUPERIOR REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Superior ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10362,6 X 500 ML,2583,"ACETIC ACID, SUPERIOR REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Superior ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10363,2.5 L,2583,"ACETIC ACID, SUPERIOR REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Superior ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10364,4 X 2.5 L,2583,"ACETIC ACID, SUPERIOR REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Superior ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10365,6 X 2.5 L,2583,"ACETIC ACID, SUPERIOR REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Superior ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10366,20 L,2583,"ACETIC ACID, SUPERIOR REAGENT (ACS)",,Yes,No,20,No,"Acetic Acid, Superior ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10367,2.5 L PVC,2583,"ACETIC ACID, SUPERIOR REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Superior ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10368,4X2.5L PVC,2583,"ACETIC ACID, SUPERIOR REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Superior ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
10369,6X2.5L PVC,2583,"ACETIC ACID, SUPERIOR REAGENT (ACS)",,Yes,Yes,20,No,"Acetic Acid, Superior ACS",BOM,GFS GENERIC,64-19-7,No,Yes,"8, (3),",Not specified,PGII,Yes
1037,BULK KG,1037,"SODIUM SALICYLATE, REAGENT",RAW,Yes,No,20,No,"Sodium Salicylate, Reagent",None,GFS GENERIC,54-21-7,No,No,,Not specified,,Yes
1038,BULK KG,1038,"SODIUM SILICOFLUORIDE, REAGENT",RAW,Yes,No,20,No,"Sodium Silicofluoride, Reagent",None,GFS GENERIC,16893-85-9,No,Yes,"6.1,",Not specified,PGIII,Yes
1039,BULK KG,1039,"SODIUM SULFANILATE, DIHYDRATE, REAGENT",RAW,Yes,No,20,No,"Sodium Sulfanilate, Dihydrate, Reagent",None,GFS GENERIC,6106-22-5,No,No,,Not specified,,Yes
10391,250 G,3496,"N-BROMOSUCCINIMIDE, 98%",,Yes,Yes,20,No,"N-Bromosuccinimide, 98%",BOM,GFS GENERIC,128-08-5,No,Yes,"8,",Not specified,PGII,Yes
10392,1 KG,3496,"N-BROMOSUCCINIMIDE, 98%",,Yes,Yes,20,No,"N-Bromosuccinimide, 98%",BOM,GFS GENERIC,128-08-5,No,Yes,"8,",Not specified,PGII,Yes
10401,500 ML,714,"ACETIC ANHYDRIDE, REAGENT, (ACS)",,Yes,Yes,20,No,"Acetic Anhydride, ACS",BOM,GFS GENERIC,108-24-7,Yes,Yes,"8, (3),",Not specified,PGII,Yes
10402,2.5 L,714,"ACETIC ANHYDRIDE, REAGENT, (ACS)",,Yes,Yes,20,No,"Acetic Anhydride, ACS",BOM,GFS GENERIC,108-24-7,Yes,Yes,"8, (3),",Not specified,PGII,Yes
10403,6 X 500 ML,714,"ACETIC ANHYDRIDE, REAGENT, (ACS)",,Yes,Yes,20,No,"Acetic Anhydride, ACS",BOM,GFS GENERIC,108-24-7,Yes,Yes,"8, (3),",Not specified,PGII,Yes
10404,4 X 2.5 L,714,"ACETIC ANHYDRIDE, REAGENT, (ACS)",,Yes,Yes,20,No,"Acetic Anhydride, ACS",BOM,GFS GENERIC,108-24-7,Yes,Yes,"8, (3),",Not specified,PGII,Yes
10405,6 X 2.5 L,714,"ACETIC ANHYDRIDE, REAGENT, (ACS)",,Yes,Yes,20,No,"Acetic Anhydride, ACS",BOM,GFS GENERIC,108-24-7,Yes,Yes,"8, (3),",Not specified,PGII,Yes
1041,BULK KG,1041,"SODIUM THIOCYANATE, REAGENT (ACS)",RAW,Yes,No,20,No,"Sodium Thiocyanate, ACS",None,GFS GENERIC,540-72-7,No,No,,Not specified,,Yes
1042,BULK KG,1042,"SPADNS, REAGENT (ACS)",RAW,Yes,No,20,No,"Spadns, ACS",None,GFS GENERIC,23647-14-5,No,No,,Not specified,,Yes
10421,1 G,3469,"1-Bromo-4-Trimethylsilylbenzene, 97%",,Yes,Yes,15,No,"1-Bromo-4-Trimethylsilylbenzene, 97%",BOM,GFS GENERIC,6999-03-7,No,No,,Not specified,,Yes
10422,5 G,3469,"1-Bromo-4-Trimethylsilylbenzene, 97%",,Yes,Yes,15,No,"1-Bromo-4-Trimethylsilylbenzene, 97%",BOM,GFS GENERIC,6999-03-7,No,No,,Not specified,,Yes
