productId,description
391,"Reagent solution for the determination of microgram amounts of EDTA, B Kratochvil and M.C. White, Anal. Chem., 37, 111 (1965)."
394,Tetra-n-butylammonium perchlorate.  Suitable for use as polarographic supporting electrolyte.
395,Variable degree of hydration between 0 and 1.
504,"SKU 43605 is a GFS Express item with guaranteed same or next day shipping or the freight is free.Trace metal grade, analyzed for approximately 35 analytes in the PPB range.Note: Results reported at time of bottling in glass. The levels of Al, B, Ca, K, Mg, Mn, Na, and Si will increase over time."
505,Propanediol Cyclic Carbonate. Iron and copper free.
507,Acetyldiphenylamine.
508,HHSNNA. Cal Red. Indicator for calcium in the presence of magnesium.
510,Suitable for use as polargraphic supporting electrolyte.
511,Suitable for use as polarographic supporting electrolyte.  Wet with 10% water.
512,(Tetra-n-hexylammonium Perchlorate) suitable for use as a polarographic supporting electrolyte.
516,"Reagent for the simultaneous spectrophotometric determination of iron and copper.  Schilt and Taylor, Anal. Chem., 42,220 (1970)."
518,Not on the TSCA inventory.
524,Not on TSCA inventory.
526,Holmium perchlorate is NOT on the TSCA inventory.
539,"3-Hydroxy-4-Nitroso-2,7-Naphthalenedisulfonic Acid Disodium Salt. Reagent for the colorimetric determination of cobalt."
540,"Reagent for the spectrophotometric determination of iron.  W.I. Stephen, Talanta, 16,939 (1969)."
542,AA or colorimetric standard.
543,AA or colorimetric standard.
544,"For AA, colorimetric and volumetric analysis."
545,"AA, colorimetric or volumetric standard."
546,"Trace metal grade, analyzed for approximately 35 analytes in the PPB range. Bottled in glass -levels of Al, B, Ca, K, Mg, Mn, Na and Si will increase over time."
548,Fine crystal.
557,Potassium peroxydisulfate.
558,Sodium Dithionite.
560,"Precipitation reagent for potassium, ammonium, rubidium, cesium, mercury, thallium and organic bases."
563,"Reagent for iron, aluminum and titanium."
564,"Masking and colorimetric reagent for various metal ions. Precipitation reagent for lead, cadmium, selenium, bismuth and tellurium."
566,"Reagent for zinc, mercury and copper. Complexometric indicator for direct titrations of zinc."
568,DTPA.
569,Reagent for the spectrophotometric determination of iron and copper.
588,"Aurintricarboxylic Acid, Ammonium Salt."
598,Ranges from 14-18 hydrate.
606,Approx. 30 mesh.
621,Trace metal grade. Low PPT level impurities.Bottled in leached PFA bottles to reduce metals impurities.
624,SKU 10305 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
625,SKU 43505 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
626,SKU 53005 is a GFS Express item with guaranteed same or next day shipping or the freight is free. Packaged in glass and PVC bottles.
627,SKU 59604 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
629,Pellets.
630,SKU 67802 is a GFS Express item with guaranteed same or next day shipping or the freight is free. Pellets.
635,"No need to touch cuvettes or test tubes (up to 100 mm long) while cleaning using this unique lab aid. Constructed of PP, with room for 18 cuvettes, unit permits self-draining and dust-free storage."
639,Not on the TSCA inventory.
653,SKU 60502 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
654,SKU 61003 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
657,SKU 66802 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
661,"Reagent for the determination of iron. Schilt and Hoyle, Anal. Chem., 39, 114 (1967)."
666,For determination of solution viscosity of pulps.
670,Chromatographic Grade.
671,Nominally 2-5 mesh.
672,C.I.42755 (Acid Blue 22).
674,Water soluble pH indicator.
675,Water soluble pH indicator.
676,Water soluble pH indicator.
677,Water soluble pH indicator.
679,Water soluble pH indicator.
684,Water soluble pH indicator. Not on the TSCA inventory.
685,Chromic Acid. 
688,CDTA.
689,"Ethylenedinitrilotetraacetic Acid, EDTA."
690,"1-(2-Naphtholazo-3,6-disulfonic acid)-2-naphthol-4-sulfonic acid disodium salt. Deposited on crystals of sodium chloride. Not on the TSCA inventory."
692,For sugar analysis.
699,"3,3-bis(p-Hydroxyphenyl)phthalide  SKU 58221 is a GFS Express item with guaranteed same or next day shipping or the freight is free."
700,Appearance - white flaky crystal.
701,Nominally 10-80 mesh.
704,Product is a free flowing powder.
707,Folin.
712,Uranine. Fluorescent indicator. May be used in examination of subterranean waters.
717,Typical particle range >90%  5.5 - 125 um.
722,SKU 43901 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
730,0.0167 mol/L.
733,SKU 65627 is a GFS Express item with guaranteed same or next day shipping or the freight is free. 0.1 mol/L.
734,SKU 69202 is a GFS Express item with guaranteed same or next day shipping or the freight is free.Suitable for buffer solutions.
736,0.1 mol/L.
737,AA or colorimetric standard.
738,"IC, colorimetric or volumetric standard."
739,AA or colorimetric standard.
740,AA or colorimetric standard.
741,"AA, colorimetric or gravimetric standard."
742,"Volumetric, colorimetric or IC standard."
743,AA or colorimetric standard.
744,"AA, colorimetric or volumetric standard."
746,"Volumetric, colorimetric or turbidimetric standard."
747,AA or colorimetric standard.
748,AA or colorimetric standard.
750,"AA, colorimetric or volumetric standard."
751,"AA, colorimetric or volumetric standard."
752,"AA, colorimetric or volumetric standard."
753,"AA, colorimetric or volumetric standard."
754,"AA, colorimetric or volumetric standard."
755,"AA, colorimetric or volumetric standard."
756,"IC, colorimetric or volumetric standard."
757,"IC, colorimetric or volumetric standard."
758,"IC, colorimetric or volumetric standard."
759,"For AA, colorimetric and volumetric analysis."
760,"AA, colorimetric or volumetric standard."
761,"AA, colorimetric or volumetric standard."
762,"AA, colorimetric or volumetric standard."
763,"IC, colorimetric or volumetric standard."
764,"AA, colorimetric or volumetric standard."
765,"AA, colorimetric or volumetric standard."
766,"AA, colorimetric or volumetric standard."
768,Ammonium Hexanitrato Cerate.
769,"Bicinchonic acid, disodium salt for BCA assay."
771,NaHEDTA.
782,"4,5-Dihydroxy-2,7-naphthalenedisulfonic Acid, Disodium Salt. Typically an off-white to brown powder."
788,Ammonium purpurate. Indicator for complexometry.
789,"2,2-Dihydroxy-1,3-indanedione;1,2,3-Indanetrione monohydrate. Indicator for amines."
790,Phenolsulfonphthalein.
791,SKU 59553 is a GFS Express item with guaranteed same or next day shipping or the freight is free.
795,SKU 62302 is a GFS Express item with guaranteed same or next day shipping or the freight is free.  Clear to white crystal.
798,CI 45160.
