Brand,Instrument,GFS Item #,title,Web Description,url
EPA 180.1,EPA 180.1 Design,8000,"0.0 NTU, Amco Clear Turbidity Standard",For All Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-0-0-ntu-8000
EPA 180.1,EPA 180.1 Design,8001,"0.1 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-0-1-ntu-8001
EPA 180.1,EPA 180.1 Design,8002,"Turb Std, 0.2 NTU",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-0-2-ntu-8002
EPA 180.1,EPA 180.1 Design,8003,"0.4 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-0-4-ntu-8003
EPA 180.1,EPA 180.1 Design,8004,"0.5 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-0-5-ntu-8004
EPA 180.1,EPA 180.1 Design,8005,"0.6 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-0-6-ntu-8005
EPA 180.1,EPA 180.1 Design,8006,"0.8 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-0-8-ntu-8006
EPA 180.1,EPA 180.1 Design,8007,"1.0 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-1-0-ntu-8007
EPA 180.1,EPA 180.1 Design,8008,"2.0 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-2-0-ntu-8008
EPA 180.1,EPA 180.1 Design,8009,"3.0 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-3-0-ntu-8009
EPA 180.1,EPA 180.1 Design,8010,"4.0 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-4-0-ntu-8010
EPA 180.1,EPA 180.1 Design,8011,"5.0 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-5-0-ntu-8011
EPA 180.1,EPA 180.1 Design,8012,"6.0 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-6-0-ntu-8012
EPA 180.1,EPA 180.1 Design,8013,"8.0 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-8-0-ntu-8013
EPA 180.1,EPA 180.1 Design,8014,"9 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-10-ntu-8014
EPA 180.1,EPA 180.1 Design,8015,"19 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-20-ntu-8015
EPA 180.1,EPA 180.1 Design,8016,"29 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-30-ntu-8016
EPA 180.1,EPA 180.1 Design,8017,"39 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-40-ntu-8017
EPA 180.1,EPA 180.1 Design,8018,"Turb Std, 50 NTU",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-50-ntu-8018
EPA 180.1,EPA 180.1 Design,8019,"59 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-60-ntu-8019
EPA 180.1,EPA 180.1 Design,8020,"79 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-80-ntu-8020
EPA 180.1,EPA 180.1 Design,8021,"99 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-100-ntu-8021
EPA 180.1,EPA 180.1 Design,8022,"199 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-200-ntu-8022
EPA 180.1,EPA 180.1 Design,8024,"299 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-300-ntu-8024
EPA 180.1,EPA 180.1 Design,8025,"399 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-400-ntu-8025
EPA 180.1,EPA 180.1 Design,8026,"499 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-500-ntu-8026
EPA 180.1,EPA 180.1 Design,8027,"599 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-600-ntu-8027
EPA 180.1,EPA 180.1 Design,8028,"799 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-800-ntu-8028
EPA 180.1,EPA 180.1 Design,8029,"899 NTU, Amco Clear Turbidity Standard",For All EPA 180.1 Design Turbidimeters.,https://www.gfschemicals.com/amco-clear-turbidity-standard-900-ntu-8029
